conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
1,"Taha follows up with the pharmacy desk about checking whether a refund was processed, but the message remains safe because it does not request passwords or OTPs and avoids emotional pressure. The message includes normal context and does not ask the receiver to bypass official steps.",scholarship application,SMS,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,trust,No verification needed,Allow
2,"The conversation shifts into template-style advice on checking availability for a call, where the sender sounds helpful but avoids direct personal accountability. The risk increases because the message links hostel management with confusion and immediate compliance.",hostel management,SMS,Fake,AI-Generated Text Conversation,Text,Template-Like Generation,None,High,Bank Officer,6,confusion,Allows verification,Warn User
3,"The exchange becomes suspicious when it connects medical lab report with a sudden warning, changes the topic when asked for proof, and pressures the receiver to reply with card details before checking the source. The conversation attempts to control the receiver's next action rather than allow independent verification.",medical lab report,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Identity Fraud,Critical,Police Officer,9,panic,Pushes immediate action,Block and Escalate
4,"The sender creates a believable story around checking whether a refund was processed, but then gives no verifiable institutional contact, applies authority pressure, and requests that the receiver pay a small release fee. The conversation attempts to control the receiver's next action rather than allow independent verification.",university administration,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Identity Fraud,Critical,Clinic Staff,7,authority,Refuses call-back,Block and Escalate
5,"The sender references asking about lunch plans naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. The suspicious part is that the sender pushes the receiver away from normal support channels while demanding that the receiver share a wallet PIN.",pharmacy delivery,SMS,Suspicious,Human + AI Edited Conversation,Email,Persuasive Reframing,Scholarship Scam,High,None,5,sympathy,Pushes immediate action,Warn User
6,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about scholarship application. The conversation attempts to control the receiver's next action rather than allow independent verification.,scholarship application,SMS,Suspicious,Human + AI Edited Conversation,Chat App,Persuasive Reframing,E-commerce Scam,High,Investment Advisor,4,authority,Pushes immediate action,Warn User
7,"Asad's message begins with a human note about confirming a supervisor meeting, then becomes unusually polished, avoids naming the branch or office, and adds persuasive pressure near the end. The conversation attempts to control the receiver's next action rather than allow independent verification.",scholarship application,SMS,Suspicious,Human + AI Edited Conversation,Chat App,Mixed Human-AI Editing,Charity Scam,High,HR Manager,6,sympathy,Allows verification,Warn User
8,"The exchange concerns confirming document submission, where Rehan provides a reasonable explanation, uses the official portal for verification, and waits for the receiver to respond normally. The sender gives the receiver enough time to check the details before replying.",clinic follow-up,Social Media DM,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,0,none,Allows verification,Allow
9,"The conversation becomes risky because it uses panic pressure, claims the system will automatically close the request, and pushes the receiver to pay a small release fee without normal verification. The receiver is not given a safe chance to confirm the claim through the pharmacy desk.",insurance claim,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Identity Fraud,Critical,Child,9,panic,Requests secrecy,Block and Escalate
10,"A scripted message from the exam office claims an opportunity is available, uses generic greetings, and pushes the receiver to install a remote access app. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",remote work,WhatsApp,Fake,Bot-Generated Conversation,Chat App,Bot Script,Lottery Scam,Critical,Bank Officer,4,reward,Requests secrecy,Block and Escalate
