conversation_id,Conversational Authenticity,Threat Severity,clean_conversation_text,sanitized_conversation_text,has_narrative_leakage,text_length,word_count,exclamation_count,question_count,uppercase_ratio,digit_count,url_present,urgency_keyword_present,sensitive_request_keyword_present,task_domain,channel,Communication Medium,Emotional State,Verification Behavior,urgency_score_0_10
11299,Fake,High,"The sender creates a believable story around discussing travel arrangements, but then asks the receiver not to discuss the matter, applies fear pressure, and requests that the receiver upload an identity document. The receiver is not given a safe chance to confirm the claim through the support center.","The sender creates a believable story around discussing travel arrangements, but then asks the receiver not to discuss the matter, applies fear pressure, and requests that the receiver upload an identity document. The receiver is not given a safe chance to confirm the claim through the support center.",True,302,48,0,0,0.008,0,0,0,0,mobile wallet,SMS,Voice Transcript,fear,Refuses call-back,9
3954,Fake,High,"A fake-looking conversation about hostel management asks the receiver to share a wallet PIN, while the sender claims the old number is unavailable and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.","about hostel management asks the receiver to share a wallet PIN, while the sender claims the old number is unavailable and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.",True,289,43,0,0,0.0207,0,0,0,1,hostel management,Chat App,Voice Transcript,panic,Pushes immediate action,9
6276,Fake,High,"The text uses smooth transitions and complete sentences about parcel delivery, yet it feels artificial because it ignores the practical question raised earlier. The receiver is not given a safe chance to confirm the claim through the exam office.","The text uses smooth transitions and complete sentences about parcel delivery, yet it feels artificial because it ignores the practical question raised earlier. The receiver is not given a safe chance to confirm the claim through the exam office.",True,246,39,0,0,0.0098,0,0,0,0,parcel delivery,Email,Text,confusion,Pushes immediate action,1
303,Real,Low,"The dialogue is consistent with genuine communication because it discusses asking for a prescription refill reminder, gives a clear non-financial purpose, and contains no hidden identity claim. The request is linked to asking for a prescription refill reminder, and no confidential credential is requested.",", gives a clear non-financial purpose, and contains no hidden identity claim. The request is linked to asking for a prescription refill reminder, and no confidential credential is requested.",True,306,44,0,0,0.0078,0,0,0,1,medical lab report,SMS,Voice Transcript,none,Allows verification,0
9239,Real,Low,"Hina writes about discussing travel arrangements in the scholarship application setting, and the conversation stays practical because the sender avoids suspicious links and simply asks the receiver to share the meeting agenda. The sender gives the receiver enough time to check the details before replying.","Hina writes about discussing travel arrangements in the scholarship application setting, and the conversation stays practical because the sender avoids suspicious links and simply asks the receiver to share the meeting agenda. The sender gives the receiver enough time to check the details before replying.",True,306,45,0,0,0.0077,0,0,0,0,scholarship application,Email,Voice Transcript,trust,Provides normal verification,0
18338,Fake,Critical,"A fake-looking conversation about hostel management asks the receiver to pay a small release fee, while the sender mentions a deadline that was never announced and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.","about hostel management asks the receiver to pay a small release fee, while the sender mentions a deadline that was never announced and avoids a clear identity check. The conversation attempts to control the receiver's next action rather than allow independent verification.",True,302,45,0,0,0.0079,0,0,1,1,hostel management,Voice Transcript,WhatsApp,authority,Refuses call-back,7
2834,Fake,Critical,"A fake-looking conversation about insurance claim asks the receiver to pay a small release fee, while the sender says the issue cannot wait until morning and avoids a clear identity check. The risk increases because the message links insurance claim with panic and immediate compliance.","about insurance claim asks the receiver to pay a small release fee, while the sender says the issue cannot wait until morning and avoids a clear identity check. the message links insurance claim with panic and immediate compliance.",True,286,45,0,0,0.0084,0,0,1,1,insurance claim,SMS,WhatsApp,panic,Avoids verification,9
8198,Real,Low,"In a normal conversation about confirming attendance, the sender asks to use the official portal, gives enough background, and does not force immediate action. The receiver can verify it through the university portal, so the risk remains limited.","In a normal conversation about confirming attendance, the sender asks to use the official portal, gives enough background, and does not force immediate action. The receiver can verify it through the university portal,.",True,246,38,0,0,0.0099,0,0,1,0,tax office,SMS,Text,none,Provides normal verification,2
16784,Real,Low,"In a normal conversation about confirming attendance, the sender asks to review the attached document, gives enough background, and does not force immediate action. The conversation remains focused on coordination rather than pressure or reward.","In a normal conversation about confirming attendance, the sender asks to review the attached document, gives enough background, and does not force immediate action. The conversation remains focused on coordination rather than pressure or reward.",False,245,35,0,0,0.0097,0,0,1,0,clinic follow-up,SMS,Email,none,Provides normal verification,1
8679,Real,Low,"In a normal conversation about coordinating with a colleague, the sender asks to confirm the address, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.","In a normal conversation about coordinating with a colleague, the sender asks to confirm the address, gives enough background, and does not force immediate action. The sender gives the receiver enough time to check the details before replying.",False,243,38,0,0,0.01,0,0,1,0,electricity complaint,Voice Transcript,Text,none,Allows verification,1
